user_id,gender,age,occupation,zip_code,user_name,nick_name,password,avatar,create_by,update_by,update_time,,del_flag,phone,emali
1,1,1,10,48067,wuqtwb,LJJOIP,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i11aDq,https://img.shetu66.com/2023/04/25/1682391069844152.png,,,,,,,
2,0,56,16,70072,mzdlnl,UDVFMS,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i11aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=2,,,,,,,
3,0,25,15,55117,brdoxe,GWSCMQ,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i12aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=3,,,,,,,
4,0,45,7,02460,oghred,MADAON,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i13aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=4,,,,,,,
5,0,25,20,55455,ddysfe,BAEQYZ,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i14aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=5,,,,,,,
6,1,50,9,55117,rjoxcf,JKYUUA,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i15aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=6,,,,,,,
7,0,35,1,06810,kdsyan,BHECWZ,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i16aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=7,,,,,,,
8,0,25,12,11413,fguaip,ACYKKE,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i17aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=8,,,,,,,
9,0,25,17,61614,lsgpjo,HLHERA,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i18aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=9,,,,,,,
10,1,35,1,95370,dkhgeb,NQNCJA,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i19aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=10,,,,,,,
11,1,25,1,04093,zguepl,VWEJHK,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i20aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=11,,,,,,,
12,0,25,12,32793,pdunks,OPNDHY,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i21aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=12,,,,,,,
13,0,45,1,93304,aemtcg,MJSVSU,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i22aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=13,,,,,,,
14,0,35,0,60126,dgrzvy,JOGFYE,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i23aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=14,,,,,,,
15,0,25,7,22903,addwyx,PANEGN,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i24aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=15,,,,,,,
16,1,35,0,20670,faqsgh,MKIBHX,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i25aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=16,,,,,,,
17,0,50,1,95350,sgjvbu,ZHSRZB,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i26aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=17,,,,,,,
18,1,18,3,95825,rdhyni,NPJKRG,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i27aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=18,,,,,,,
19,0,1,10,48073,tounva,OQBCHH,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i28aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=19,,,,,,,
20,0,25,14,55113,rlaztg,KKNBJT,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i29aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=20,,,,,,,
21,0,18,16,99353,usfnzj,PVPJUN,$2a$10$FNQqAotf4vVwmyK1Dyp4OeTUCtKAmoYWuByvx6PRt5Aqsj7i30aDq,https://www.bing.com/th/id/OIP.g8mJgPIMzrokOwdfCmOQZgAAAA?w=205&h=211&c=8&rs=1&qlt=90&o=6&cb=thwsc5&dpr=1.5&pid=3.1&rm=21,,,,,,,
